school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK & FIELD,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BROWNIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - CHINESE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - INDIAN,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - MALAY,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,PHOTOGRAPHY CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,GREEN CLUB,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOM CLUB,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
AHMAD IBRAHIM PRIMARY SCHOOL,,PHYSICAL SPORTS,BASKETBALL,
AHMAD IBRAHIM PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,
AHMAD IBRAHIM PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - HARMONICA,
AHMAD IBRAHIM PRIMARY SCHOOL,,UNIFORMED GROUPS,NPCC,
AHMAD IBRAHIM PRIMARY SCHOOL,,PHYSICAL SPORTS,TABLE TENNIS,
AHMAD IBRAHIM PRIMARY SCHOOL,,PHYSICAL SPORTS,AUDIO VIDEO AND INFORMATION TECHNOLOGY CLUB,
AHMAD IBRAHIM SECONDARY SCHOOL,,CLUBS AND SOCIETIES,LDDS - ENGLISH,
AHMAD IBRAHIM SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - STRING,
AHMAD IBRAHIM SECONDARY SCHOOL,,PHYSICAL SPORTS,BADMINTON,
AHMAD IBRAHIM SECONDARY SCHOOL,,UNIFORMED GROUPS,TEN-PIN BOWLING,
AHMAD IBRAHIM SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,DANCE - INDIAN,
AHMAD IBRAHIM SECONDARY SCHOOL,,UNIFORMED GROUPS,FOOTBALL,
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CREATIVE DESIGN CLUB,INFOCOMM CLUB
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK & FIELD,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,na
AI TONG SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
AI TONG SCHOOL,PRIMARY,UNIFORMED GROUPS,BROWNIES,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUZHENG,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - CHINESE,DANCE
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,ART CLUB
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS CLUB,na
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,WEIQI CLUB,WEIQI
ALEXANDRA PRIMARY SCHOOL,,CLUBS AND SOCIETIES,ART AND CRAFT CLUB,
ALEXANDRA PRIMARY SCHOOL,,UNIFORMED GROUPS,WUSHU,
ALEXANDRA PRIMARY SCHOOL,,CLUBS AND SOCIETIES,ENGLISH SOCIETY,
ALEXANDRA PRIMARY SCHOOL,,PHYSICAL SPORTS,SCIENCE CLUB,
ALEXANDRA PRIMARY SCHOOL,,CLUBS AND SOCIETIES,LIBRARY,
ALEXANDRA PRIMARY SCHOOL,,PHYSICAL SPORTS,HOCKEY,
ALEXANDRA PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,DANCE - INTERNATIONAL,
ANCHOR GREEN PRIMARY SCHOOL,,UNIFORMED GROUPS,ST. JOHN BRIGADE,
ANCHOR GREEN PRIMARY SCHOOL,,PHYSICAL SPORTS,BASKETBALL,
ANCHOR GREEN PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,CHOIR,
ANCHOR GREEN PRIMARY SCHOOL,,UNIFORMED GROUPS,VOLLEYBALL,
ANDERSON PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,DANCE - MALAY,
ANDERSON PRIMARY SCHOOL,,CLUBS AND SOCIETIES,LIBRARY,
ANDERSON PRIMARY SCHOOL,,CLUBS AND SOCIETIES,BAND - BRASS,
ANDERSON PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,NCC (LAND),
ANDERSON PRIMARY SCHOOL,,CLUBS AND SOCIETIES,LION DANCE TROUPE,
ANDERSON PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,NATIONAL CIVIL DEFENCE CADET CORPS,
ANDERSON SECONDARY SCHOOL,,UNIFORMED GROUPS,SCOUTS,
ANDERSON SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,
ANDERSON SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,CHOIR,
ANDERSON SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,NCC (SEA),
ANDERSON SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,
ANDERSON SECONDARY SCHOOL,,UNIFORMED GROUPS,MODULAR SPORTS,
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ROCKWALL CLIMBING,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TOUCH FOOTBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ORCHESTRA - CHINESE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - HARMONICA,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MUSICIANS' CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,CHESS CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INTERACT CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SCIENCE SOCIETY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LDDS - CHINESE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LDDS - INDIAN,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,VISUAL ARTS CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,RED CROSS HUMANITARIAN NETWORK,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK & FIELD,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SINGAPORE RED CROSS SOCIETY,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BAND - BRASS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - MODERN,Dance Ensemble
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS CLUB,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOM CLUB,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FOOTBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NPCC,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,SINGAPORE RED CROSS SOCIETY,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NCC(AIR),na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NCC (LAND),na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - INTERNATIONAL,MODERN DANCE
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - MALAY,MALAY DANCE
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,BAND - CONCERT,BAND SYMPHONIC
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,ART CLUB
ANG MO KIO SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,AV MEDIA CLUB
ANGLICAN HIGH SCHOOL,,PHYSICAL SPORTS,TABLE TENNIS,
ANGLICAN HIGH SCHOOL,,CLUBS AND SOCIETIES,ARTS SOCIETY,
ANGLICAN HIGH SCHOOL,,PHYSICAL SPORTS,WUSHU,
ANGLICAN HIGH SCHOOL,,CLUBS AND SOCIETIES,LIBRARY,
ANGLICAN HIGH SCHOOL,,VISUAL AND PERFORMING ARTS,DANCE - MALAY,
ANGLICAN HIGH SCHOOL,,PHYSICAL SPORTS,VOLLEYBALL,
ANGLO-CHINESE JUNIOR COLLEGE,,PHYSICAL SPORTS,NETBALL,
ANGLO-CHINESE JUNIOR COLLEGE,,VISUAL AND PERFORMING ARTS,DANCE - MALAY,
ANGLO-CHINESE JUNIOR COLLEGE,,PHYSICAL SPORTS,FOOTBALL,
ANGLO-CHINESE JUNIOR COLLEGE,,VISUAL AND PERFORMING ARTS,CHOIR,
ANGLO-CHINESE JUNIOR COLLEGE,,UNIFORMED GROUPS,FLOORBALL,
ANGLO-CHINESE SCHOOL (BARKER ROAD),,CLUBS AND SOCIETIES,CHESS CLUB,
ANGLO-CHINESE SCHOOL (BARKER ROAD),,PHYSICAL SPORTS,BASKETBALL,
ANGLO-CHINESE SCHOOL (BARKER ROAD),,VISUAL AND PERFORMING ARTS,SCOUTS,
ANGLO-CHINESE SCHOOL (BARKER ROAD),,CLUBS AND SOCIETIES,DRAMA - ENGLISH,
ANGLO-CHINESE SCHOOL (BARKER ROAD),,PHYSICAL SPORTS,WUSHU,
ANGLO-CHINESE SCHOOL (BARKER ROAD),,PHYSICAL SPORTS,TEN-PIN BOWLING,
ANGLO-CHINESE SCHOOL (INDEPENDENT),,CLUBS AND SOCIETIES,LION DANCE TROUPE,
ANGLO-CHINESE SCHOOL (INDEPENDENT),,UNIFORMED GROUPS,ROPE SKIPPING,
ANGLO-CHINESE SCHOOL (INDEPENDENT),,VISUAL AND PERFORMING ARTS,BAND - CONCERT,
ANGLO-CHINESE SCHOOL (INDEPENDENT),,VISUAL AND PERFORMING ARTS,DANCE - INDIAN,
ANGLO-CHINESE SCHOOL (INDEPENDENT),,PHYSICAL SPORTS,BASKETBALL,
ANGLO-CHINESE SCHOOL (INDEPENDENT),,CLUBS AND SOCIETIES,BAND - CONCERT,
ANGLO-CHINESE SCHOOL (JUNIOR),,UNIFORMED GROUPS,VOLLEYBALL,
ANGLO-CHINESE SCHOOL (JUNIOR),,CLUBS AND SOCIETIES,DANCE - INTERNATIONAL,
ANGLO-CHINESE SCHOOL (JUNIOR),,PHYSICAL SPORTS,TRACK & FIELD,
ANGLO-CHINESE SCHOOL (JUNIOR),,UNIFORMED GROUPS,BOYS' BRIGADE,
ANGLO-CHINESE SCHOOL (JUNIOR),,UNIFORMED GROUPS,NPCC,
ANGLO-CHINESE SCHOOL (JUNIOR),,PHYSICAL SPORTS,WUSHU,
ANGLO-CHINESE SCHOOL (PRIMARY),,PHYSICAL SPORTS,MEDIA RESOURCE AND IT CLUB,
ANGLO-CHINESE SCHOOL (PRIMARY),,PHYSICAL SPORTS,SEPAK TAKRAW,
ANGLO-CHINESE SCHOOL (PRIMARY),,PHYSICAL SPORTS,TAEKWONDO,
ANGLO-CHINESE SCHOOL (PRIMARY),,PHYSICAL SPORTS,TABLE TENNIS,
ANGLO-CHINESE SCHOOL (PRIMARY),,PHYSICAL SPORTS,HOCKEY,
ANGLO-CHINESE SCHOOL (PRIMARY),,PHYSICAL SPORTS,BADMINTON,
ANGSANA PRIMARY SCHOOL,PRIMARY,OTHERS,PREFECTORIAL BOARD,na
ANGSANA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
ANGSANA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,NETBALL
ANGSANA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL
ANGSANA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU
ANGSANA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SINGAPORE RED CROSS SOCIETY,RED CROSS
ANGSANA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,SCOUTS
ANGSANA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR
ANGSANA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - INTERNATIONAL,INTERNATIONAL DANCE
ANGSANA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,na
ANGSANA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOM CLUB,INFORMATION COMMUNICATION CLUB
ANGSANA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,SCIENCE CLUB,YOUNG EXPLORERS
ASSUMPTION ENGLISH SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - PERCUSSION,
ASSUMPTION ENGLISH SCHOOL,,PHYSICAL SPORTS,SWIMMING,
ASSUMPTION ENGLISH SCHOOL,,VISUAL AND PERFORMING ARTS,DANCE - MALAY,
ASSUMPTION ENGLISH SCHOOL,,CLUBS AND SOCIETIES,LIBRARY COUNCIL,
ASSUMPTION ENGLISH SCHOOL,,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,
ASSUMPTION ENGLISH SCHOOL,,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,
ASSUMPTION PATHWAY SCHOOL,,UNIFORMED GROUPS,BOYS' BRIGADE,
ASSUMPTION PATHWAY SCHOOL,,UNIFORMED GROUPS,SCOUTS,
ASSUMPTION PATHWAY SCHOOL,,PHYSICAL SPORTS,FOOTBALL,
ASSUMPTION PATHWAY SCHOOL,,UNIFORMED GROUPS,GIRL GUIDES,
ASSUMPTION PATHWAY SCHOOL,,PHYSICAL SPORTS,BASKETBALL,
BARTLEY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
BARTLEY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,na
BARTLEY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,SEPAK TAKRAW,na
BARTLEY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FOOTBALL,na
BARTLEY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na
BARTLEY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NPCC,na
BARTLEY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,SINGAPORE RED CROSS SOCIETY,RED CROSS YOUTH
BARTLEY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NCC(AIR),na
BARTLEY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NCC (LAND),na
BARTLEY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
BARTLEY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,BAND - MILITARY,BAND-CONCERT
BARTLEY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUZHENG,ENSEMBLE-GUZHENG
BARTLEY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - MODERN,DANCE-MODERN
BARTLEY SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,MEDIA RESOURCE CLUB,MERIT (MEDIA RESOURCE & IT) CLUB
BARTLEY SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ENTREPRENEUR CLUB,na
BARTLEY SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,SERVICE LEARNING CLUB,na
BEACON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,SOCCER
BEACON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
BEACON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TCHOUKBALL,na
BEACON PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
BEACON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
BEACON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,STRING ENSEMBLE CLUB
BEACON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - CHINESE,na
BEACON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - MALAY,na
BEACON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,VISUAL ARTS CLUB
BEACON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS CLUB,ROBOTICS & INNOVATION CLUB
BEACON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,LIBRARY,na
BEATTY SECONDARY SCHOOL,,CLUBS AND SOCIETIES,ART AND CRAFT CLUB,
BEATTY SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,BAND - CONCERT,
BEATTY SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,
BEATTY SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,NATIONAL CIVIL DEFENCE CADET CORPS,
BEATTY SECONDARY SCHOOL,,UNIFORMED GROUPS,ADVENTURE CLUB,
BEATTY SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUZHENG,
BEDOK GREEN PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,DANCE - CHINESE,
BEDOK GREEN PRIMARY SCHOOL,,PHYSICAL SPORTS,TRACK & FIELD,
BEDOK GREEN PRIMARY SCHOOL,,PHYSICAL SPORTS,BASKETBALL,
BEDOK GREEN PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,NATIONAL CIVIL DEFENCE CADET CORPS,
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,CANOEING/ROWING/DRAGON BOAT,CANOEING
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FOOTBALL,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,SOFTBALL,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,WUSHU,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NPCC,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,ST. JOHN BRIGADE,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NCC (LAND),na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - MODERN,DANCE
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - MALAY,MALAY DANCE
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,DRAMA
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,BAND - CONCERT,CONCERT BAND
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,ART & CRAFT
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,OUTDOOR ADVENTURE CLUB
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL CLUB,ENVIRONMENT CLUB
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,INFOCOM CLUB,na
BEDOK SOUTH SECONDARY SCHOOL,,PHYSICAL SPORTS,BADMINTON,
BEDOK SOUTH SECONDARY SCHOOL,,UNIFORMED GROUPS,NPCC,
BEDOK SOUTH SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,
BEDOK SOUTH SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,
BEDOK SOUTH SECONDARY SCHOOL,,CLUBS AND SOCIETIES,CHINESE CULTURAL SOCIETY,
BEDOK SOUTH SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,BAND - CONCERT,
BEDOK VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON (BOYS)
